Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No. of_Trades,Deliverable_Qty,% Dly Qt to_Traded_Qty
BHARTIARTL,EQ,20-05-2021,528.2,531,531,520,521.2,520.65,523.54,13777903,7213285932,180741,7365177,53.46
BHARTIARTL,EQ,19-05-2021,536.35,537.9,540.55,526.2,527.95,528.2,531.4,19223054,10215112223,253054,10155117,52.83
BHARTIARTL,EQ,18-05-2021,549.65,547.5,552.9,534.55,536.8,536.35,540.86,34324460,18564867278,365295,14127966,41.16
BHARTIARTL,EQ,17-05-2021,560.4,563.95,563.95,545.8,547.8,549.65,551.79,13424956,7407763709,178943,5001960,37.26
BHARTIARTL,EQ,14-05-2021,561.75,564,569.35,556.15,560.05,560.4,562.46,7555855,4249858578,113531,2235511,29.59
BHARTIARTL,EQ,12-05-2021,568.4,568,569.15,558.2,562,561.75,563.82,6689476,3771645448,86365,2283957,34.14
BHARTIARTL,EQ,11-05-2021,572.55,565.5,574.85,564.05,567.3,568.4,569.56,7885422,4491212893,94878,3154106,40
BHARTIARTL,EQ,10-05-2021,568.5,572,577,569.1,571.4,572.55,573.54,8211446,4709582275,127435,3467551,42.23
BHARTIARTL,EQ,07-05-2021,558.75,561.2,572.9,556.9,568.1,568.5,567.84,12656867,7187072891,159909,4168641,32.94
BHARTIARTL,EQ,06-05-2021,559.95,559.95,564.4,552.6,558.3,558.75,558.34,9000753,5025504841,91956,3353990,37.26
BHARTIARTL,EQ,05-05-2021,552.45,556.9,564.95,554,560,559.95,560.72,11872729,6657315675,173748,4054526,34.15
BHARTIARTL,EQ,04-05-2021,558.85,565.95,565.95,546.7,551.45,552.45,557.72,13934607,7771656551,156159,4821183,34.6
BHARTIARTL,EQ,03-05-2021,536.75,530,562.5,529.05,561.05,558.85,547.44,14288088,7821900426,144212,5353429,37.47
BHARTIARTL,EQ,30-04-2021,540.85,533.5,547,533.5,535.5,536.75,540.94,8178192,4423888615,106580,3045108,37.23
BHARTIARTL,EQ,29-04-2021,544.3,549.7,550,539.1,540.2,540.85,542.81,8683857,4713693575,98579,3138384,36.14
BHARTIARTL,EQ,28-04-2021,534.3,535.95,548,535.6,543.75,544.3,542.82,11970652,6497866112,125600,4344243,36.29
BHARTIARTL,EQ,27-04-2021,527.55,527.45,538.55,526.25,535.5,534.3,534.45,9693047,5180449355,99563,3413478,35.22
BHARTIARTL,EQ,26-04-2021,522.6,522.75,528.5,522.75,527.2,527.55,526.12,5819893,3061970699,70201,2682701,46.1
BHARTIARTL,EQ,23-04-2021,530.85,529,532.45,519.1,522.75,522.6,525.85,6992388,3676918379,94602,3237319,46.3
BHARTIARTL,EQ,22-04-2021,530.2,530,533.4,526.05,530.1,530.85,530.11,6552131,3473379510,98115,3224101,49.21
BHARTIARTL,EQ,20-04-2021,526.45,529,537,525.9,529,530.2,531.74,7233304,3846248823,82776,3258127,45.04
BHARTIARTL,EQ,19-04-2021,540.75,532.25,535,523.25,526.6,526.45,527.42,7232945,3814784409,112044,3115681,43.08
BHARTIARTL,EQ,16-04-2021,539.35,540.05,544.15,538,539,540.75,541.28,6157781,3333066009,68143,2882361,46.81
BHARTIARTL,EQ,15-04-2021,536.15,540,546.15,530.25,538.05,539.35,538.26,9805711,5278033640,104489,3407798,34.75
BHARTIARTL,EQ,13-04-2021,522.45,526.4,540,523.1,536.85,536.15,530.96,6535007,3469800867,90447,2169720,33.2
BHARTIARTL,EQ,12-04-2021,545.25,537.55,538.85,518.5,523.5,522.45,526.6,9687846,5101596995,131068,3848839,39.73
BHARTIARTL,EQ,09-04-2021,543,539.5,549.75,536.5,544.35,545.25,543.69,11426998,6212767262,120161,3156352,27.62
BHARTIARTL,EQ,08-04-2021,541.6,546.8,548.55,540.5,542,543,544.62,11157958,6076850707,113476,3153147,28.26
BHARTIARTL,EQ,07-04-2021,532.2,537,546.9,535.25,541,541.6,542.17,20997280,11384107645,192193,7853925,37.4
BHARTIARTL,EQ,06-04-2021,528.25,528.5,537.85,524.55,532.5,532.2,532.86,12873443,6859684394,133794,4322722,33.58
BHARTIARTL,EQ,05-04-2021,520.8,520.8,529,514.6,528.05,528.25,521.82,9203847,4802722483,92553,2821698,30.66
BHARTIARTL,EQ,01-04-2021,517.3,519.95,523.9,514.55,520.45,520.8,519.84,6980458,3628704762,83069,2880529,41.27
BHARTIARTL,EQ,31-03-2021,521.5,522.35,525.9,516.25,516.6,517.3,520.25,7570387,3938520814,86424,3057399,40.39
BHARTIARTL,EQ,30-03-2021,522.5,527.8,527.9,516.25,522.35,521.5,521.49,10494794,5472898568,133631,4648204,44.29
BHARTIARTL,EQ,26-03-2021,507.75,512.1,524.9,510.6,523.25,522.5,518.76,10943035,5676774107,141501,3725203,34.04
BHARTIARTL,EQ,25-03-2021,523.65,523.4,523.65,499.55,507.2,507.75,510.86,17248482,8811620260,222200,5832926,33.82
BHARTIARTL,EQ,24-03-2021,529.25,528,533.45,521.5,522.25,523.65,528.12,10602439,5599337216,124348,3704628,34.94
BHARTIARTL,EQ,23-03-2021,528,529.7,532.45,522.15,528.6,529.25,527.11,14958494,7884828195,151964,6995411,46.77
BHARTIARTL,EQ,22-03-2021,529.95,533.05,534,523,527,528,527.46,13331409,7031845755,157176,5372570,40.3
BHARTIARTL,EQ,19-03-2021,527.2,528,534.75,525.5,531.9,529.95,530.33,48683525,25818105416,241657,26803620,55.06
BHARTIARTL,EQ,18-03-2021,522.9,529.85,532.2,515.35,530.75,527.2,523.97,12235615,6411046946,168190,3969755,32.44
